bank_name|bank_link|city|state|closing_date|assets|deposit|acquirer_notes
Ravenswood Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/ravenswood.html|Chicago|IL|August 6, 2010|$264.6|$269.5|Northbrook Bank and Trust Company, Northbrook, IL has agreed to assume all deposits, excluding certain brokered deposits.
LibertyBank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/libertyor.html|Eugene|OR|July 30, 2010|$768.2|$718.5|Home Federal Bank, Nampa, ID has agreed to assume all deposits.
The Cowlitz Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/cowlitz.html|Longview|WA|July 30, 2010|$529.3|$513.9|Heritage Bank, Olympia, WA has agreed to assume all deposits, excluding certain brokered deposits.
Coastal Community Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/coastal.html|Panama City Beach|FL|July 30, 2010|$372.9|$363.2|Centennial Bank, Conway, AR has agreed to assume all deposits.
Bayside Savings Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/bayside.html|Port Saint Joe|FL|July 30, 2010|$66.1|$52.4|Centennial Bank, Conway, AR has agreed to assume all deposits.
NorthWest Bank and Trust|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/northwestga.html|Acworth|GA|July 30, 2010|$167.7|$159.4|State Bank and Trust Company, Macon Georgia, has agreed to assume all deposits, excluding certain brokered deposits.
Home Valley Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/homevalleyor.html|Cave Junction|OR|July 23, 2010|$251.8|$229.6|South Valley Bank & Trust, Klamath Falls, OR has agreed to assume all deposits.
SouthwestUSA Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/southwestusanv.html|Las Vegas|NV|July 23, 2010|$214.0|$186.7|Plaza Bank, Irvine, CA has agreed to assume all deposits, excluding certain brokered deposits.
Community Security Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/communitysecmn.html|New Prague|MN|July 23, 2010|$108.0|$99.7|Roundbank, Waseca, MN has agreed to assume all deposits.
Thunder Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/thunderbankks.html|Sylvan Grove|KS|July 23, 2010|$32.6|$28.5|The Bennington State Bank, Salina, KS has agreed to assume all deposits, excluding certain brokered deposits.
Williamsburg First National Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/williamsburgsc.html|Kingstree|SC|July 23, 2010|$139.3|$134.3|First Citizens Bank and Trust Company, Inc., Columbia, SC has agreed to assume all deposits, excluding certain brokered deposits.
Crescent Bank and Trust Company|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/crescentga.html|Jasper|GA|July 23, 2010|$1,010.0|$965.7|The Renasant Bank, Tupelo, MS has agreed to assume all deposits, excluding certain brokered deposits.
Sterling Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/sterlingfl.html|Lantana|FL|July 23, 2010|$407.9|$372.4|IBERIABANK, Lafayette, LA has agreed to assume all deposits, excluding certain brokered deposits.
Mainstreet Savings Bank FSB|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/mainstsvgs.html|Hastings|MI|July 16, 2010|$97.4|$63.7|Commercial Bank, Alma, MI has agreed to assume all deposits.
Olde Cypress Community Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/oldecypress.html|Clewiston|FL|July 16, 2010|$168.7|$162.4|CenterState Bank of Florida, National Association, Winter Haven, FL has agreed to assume all deposits, excluding certain brokered deposits.
Turnberry Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/turnberry.html|Aventura|FL|July 16, 2010|$263.9|$196.9|NAFH National Bank, Miami, FL has agreed to assume all deposits.
Metro Bank of Dade County|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/metrobankfl.html|Miami|FL|July 16, 2010|$442.3|$391.3|NAFH National Bank, Miami, FL has agreed to assume all deposits, excluding certain brokered deposits.
First National Bank of the South|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstnatlsc.html|Spartanburg|SC|July 16, 2010|$682.0|$610.1|NAFH National Bank, Miami, FL has agreed to assume all deposits, excluding certain brokered deposits.
Woodlands Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/woodlands.html|Bluffton|SC|July 16, 2010|$376.2|$355.3|Bank of the Ozarks, Little Rock, AR has agreed to assume all deposits, excluding certain brokered deposits.
Home National Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/homenatlok.html|Blackwell|OK|July 9, 2010|$644.5|$560.7|RCB Bank, Claremore, OK has agreed to assume all deposits.
USA Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/usabankny.html|Port Chester|NY|July 9, 2010|$193.3|$189.9|The FDIC entered into a purchase and assumption agreement with New Century Bank (doing business as Customer’s 1st Bank), Phoenixville, PA, to assume all of the deposits of USA Bank.
Ideal Federal Savings Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/idealfedsvngsmd.html|Baltimore|MD|July 9, 2010|$6.3|$5.8|The FDIC has approved the payout of the insured deposits of Ideal Federal Savings Bank.
Bay National Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/baynatlmd.html|Baltimore|MD|July 9, 2010|$282.2|$276.1|To protect the depositors, the FDIC entered into a purchase and assumption agreement with Bay Bank, FSB, Lutherville, MD, to assume all of the deposits of Bay National Bank.
High Desert State Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/highdesertnm.html|Albuquerque|NM|June 25, 2010|$80.3|$81.0|First American Bank, Artesia, NM, has agreed to assume all deposits.
First National Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstnatga.html|Savannah|GA|June 25, 2010|$252.5|$231.9|The Savannah Bank, National Association, Savannah, GA has agreed to assume all deposits, excluding certain brokered deposits.
Peninsula Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/peninsulafl.html|Englewood|FL|June 25, 2010|$644.3|$580.1|Premier American Bank, Miami, FL has agreed to assume all deposits excluding certain brokered deposits.
Nevada Security Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/nevsecbank.html|Reno|NV|June 18, 2010|$480.3|$479.8|Umpqua Bank, Roseburg, OR has agreed to assume all deposits, excluding certain brokered deposits.
Washington First International Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/washfirstintl.html|Seattle|WA|June 11, 2010|$520.9|$441.4|East West Bank, Pasadena, CA has agreed to assume all deposits.
TierOne Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/tieronebankne.html|Lincoln|NE|June 4, 2010|$2,800.0|$2,200.0|Great Western Bank, Sioux Falls, SD has agreed to assume all deposits.
Arcola Homestead Savings Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/arcolail.html|Arcola|IL|June 4, 2010|$17.0|$18.1|The FDIC has approved the payout of the insured deposits of Arcola Homestead Savings Bank.
First National Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstnatms.html|Rosedale|MS|June 4, 2010|$60.4|$63.5|Jefferson Bank, Fayette, MS has agreed to assume all deposits.
Sun West Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/swbnevada.html|Las Vegas|NV|May 28, 2010|$360.7|$353.9|City National Bank, Los Angeles, CA has agreed to assume all deposits, excluding certain brokered deposits.
Granite Community Bank NA|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/graniteca.html|Granite Bay|CA|May 28, 2010|$102.9|$94.2|Tri Counties Bank, Chico, CA has agreed to assume all deposits.
Bank of Florida - Tampa Bay|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/bankoffloridatb.html|Tampa|FL|May 28, 2010|$245.2|$224.0|EverBank, Jacksonville, FL has agreed to assume all deposits, excluding certain brokered deposits.
Bank of Florida - Southwest|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/bankoffloridasw.html|Naples|FL|May 28, 2010|$640.9|$559.9|EverBank, Jacksonville, FL has agreed to assume all deposits, excluding certain brokered deposits.
Bank of Florida - Southeast|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/bankoffloridase.html|Fort Lauderdale|FL|May 28, 2010|$595.3|$531.7|EverBank, Jacksonville, FL has agreed to assume all deposits, excluding certain brokered deposits.
Pinehurst Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/pinehurstmn.html|St. Paul|MN|May 21, 2010|$61.2|$58.3|Coulee Bank, La Crosse, WI has agreed to assume all deposits.
Midwest Bank and Trust Company|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/midwestil.html|Elmwood Park|IL|May 14, 2010|$3,170.0|$2,420.0|FirstMerit Bank, National Association, Akron, OH has agreed to assume all deposits.
Southwest Community Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/swcmntymo.html|Springfield|MO|May 14, 2010|$96.6|$102.5|Simmons First National Bank, Pine Bluff, AR has agreed to assume all deposits.
New Liberty Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/newlibertymi.html|Plymouth|MI|May 14, 2010|$109.1|$101.8|Bank of Ann Arbor, Ann Arbor, MI has agreed to assume all deposits, excluding certain brokered deposits.
Satilla Community Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/satillacmntyga.html|Saint Marys|GA|May 14, 2010|$135.7|$134.0|Ameris Bank, Moulterie, GA has agreed to assume all deposits, excluding certain brokered deposits.
1st Pacific Bank of California|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/1stpacific.html|San Diego|CA|May 7, 2010|$335.8|$291.2|City National Bank, Los Angeles, CA has agreed to assume all deposits, excluding certain brokered deposits.
Towne Bank of Arizona|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/townebank.html|Mesa|AZ|May 7, 2010|$120.2|$113.2|Commerce Bank of Arizona, Mesa, AZ has agreed to assume all deposits, excluding certain brokered deposits.
Access Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/accessbank.html|Champlin|MN|May 7, 2010|$32.0|$32.0|PrinsBank, Prinsburg, MN has agreed to assume all deposits.
The Bank of Bonifay|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/bonifay.html|Bonifay|FL|May 7, 2010|$242.9|$230.2|First Federal Bank of Florida, Lake City, FL has agreed to assume all deposits.
Frontier Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/frontier.html|Everett|WA|April 30, 2010|$3,500.0|$3,130.0|Union Bank, National Association, San Francisco, CA has agreed to assume all deposits, excluding certain brokered deposits.
BC National Banks|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/bc-natl.html|Butler|MO|April 30, 2010|$67.2|$54.9|Community First Bank, Butler, MO has agreed to assume all deposits.
Champion Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/champion.html|Creve Coeur|MO|April 30, 2010|$187.3|$153.8|BankLiberty, Liberty, PR has agreed to assume all deposits, excluding certain brokered deposits.
CF Bancorp|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/cfbancorp.html|Port Huron|MI|April 30, 2010|$1,650.0|$1,430.0|First Michigan Bank, Troy, MI has agreed to assume all deposits, excluding certain brokered deposits.
Westernbank Puerto Rico|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/westernbank-puertorico.html|Mayaguez|PR|April 30, 2010|$11,940.0|$8,620.0|Banco Popular de Puerto Rico, San Juan, PR has agreed to assume all deposits, excluding certain brokered deposits.
R-G Premier Bank of Puerto Rico|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/r-gpremier-puertorico.html|Hato Rey|PR|April 30, 2010|$5,920.0|$4,250.0|Scotiabank de Puerto Rico, San Juan, PR has agreed to assume all deposits, excluding certain brokered deposits.
Eurobank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/eurobank-puertorico.html|San Juan|PR|April 30, 2010|$2,560.0|$1,970.0|Oriental Bank and Trust, San Juan, PR has agreed to assume all deposits, excluding certain brokered deposits.
Wheatland Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/wheatland.html|Naperville|IL|April 23, 2010|$437.2|$438.5|Wheaton Bank & Trust, Wheaton, IL has agreed to assume all deposits, excluding certain brokered deposits.
Peotone Bank and Trust Company|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/peotone.html|Peotone|IL|April 23, 2010|$130.2|$127.0|First Midwest Bank, Itasca, IL has agreed to assume all deposits, excluding certain brokered deposits.
Lincoln Park Savings Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/lincoln-park.html|Chicago|IL|April 23, 2010|$199.9|$171.5|Northbrook Bank and Trust Company, Northbrook, IL has agreed to assume all deposits.
New Century Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/new-century-il.html|Chicago|IL|April 23, 2010|$485.6|$492.0|MB Financial Bank, National Association, Chicago, IL has agreed to assume all deposits.
Citizens Bank & Trust Company of Chicago|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/citizens-bank.html|Chicago|IL|April 23, 2010|$77.3|$74.5|Republic Bank of Chicago, Oak Brook, IL has agreed to assume all deposits.
Broadway Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/broadway.html|Chicago|IL|April 23, 2010|$1,200.0|$1,100.0|MB Financial Bank, National Association, Chicago, IL has agreed to assume all deposits, excluding certain brokered deposits.
Amcore Bank National Association|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/amcore.html|Rockford|IL|April 23, 2010|$3,800.0|$3,400.0|Harris National Association, Chicago, IL has agreed to assume all deposits, excluding certain brokered deposits.
City Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/citybank.html|Lynnwood|WA|April 16, 2010|$1,130.0|$1,020.0|Whidbey Island Bank, Coupeville, WA has agreed to assume all deposits, excluding certain brokered deposits.
Tamalpais Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/tamalpais.html|San Rafael|CA|April 16, 2010|$628.9|$487.6|Union Bank, National Association, San Francisco, CA has agreed to assume all deposits, excluding certain brokered deposits.
Innovative Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/innovative.html|Oakland|CA|April 16, 2010|$268.9|$225.2|Center Bank, Los Angeles, CA has agreed to assume all deposits, excluding certain brokered deposits.
Butler Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/butlerbank.html|Lowell|MA|April 16, 2010|$268.0|$233.2|People's United Bank, Bridgeport, CT has agreed to assume all deposits.
Riverside National Bank of Florida|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/riverside-natl.html|Fort Pierce|FL|April 16, 2010|$3,420.0|$2,760.0|TD Bank, National Association, Wilmington, DE has agreed to assume all deposits, excluding certain brokered deposits.
AmericanFirst Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/americanfirst.html|Clermont|FL|April 16, 2010|$90.5|$81.9|TD Bank, National Association, Wilmington, DE has agreed to assume all deposits, excluding certain brokered deposits.
First Federal Bank of North Florida|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/ffbnf.html|Palatka|FL|April 16, 2010|$393.3|$324.2|TD Bank, National Association, Wilmington, DE has agreed to assume all deposits.
Lakeside Community Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/lakeside-comm.html|Sterling Heights|MI|April 16, 2010|$53.0|$52.3|The FDIC has approved the payout of the insured deposits of Lakeside Community Bank.
Beach First National Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/beachfirst.html|Myrtle Beach|SC|April 9, 2010|$585.1|$516.0|Bank of North Carolina, Thomasville, NC has agreed to assume all deposits, excluding certain brokered deposits.
Desert Hills Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/deserthills.html|Phoenix|AZ|March 26, 2010|$496.6|$426.5|New York Community Bank, Westbury, NY has agreed to assume all deposits, excluding certain brokered deposits.
Unity National Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/unity-natl.html|Cartersville|GA|March 26, 2010|$292.2|$264.3|Bank of the Ozarks, Little Rock, AR has agreed to assume all deposits, excluding certain brokered deposits.
Key West Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/key-west.html|Key West|FL|March 26, 2010|$88.0|$67.7|Centennial Bank, Conway, AR has agreed to assume all deposits, excluding certain brokered deposits.
McIntosh Commercial Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/mcintosh.html|Carrollton|GA|March 26, 2010|$362.9|$343.3|CharterBank, West Point, GA has agreed to assume all deposits, excluding certain brokered deposits.
State Bank of Aurora|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/state-aurora.html|Aurora|MN|March 19, 2010|$28.2|$27.8|Northern State Bank, Ashland, WI has agreed to assume all deposits.
First Lowndes Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstlowndes.html|Fort Deposit|AL|March 19, 2010|$137.2|$131.1|First Citizens Bank, Luverne, AL has agreed to assume all deposits.
Bank of Hiawassee|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/bankofhiawassee.html|Hiawassee|GA|March 19, 2010|$377.8|$339.6|Citizens South Bank, Gastonia, NC has agreed to assume all deposits, excluding certain brokered deposits.
Appalachian Community Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/appalachian.html|Ellijay|GA|March 19, 2010|$1,010.0|$917.6|Community & Southern Bank, Carrollton, GA has agreed to assume all deposits.
Advanta Bank Corp.|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/advanta-ut.html|Draper|UT|March 19, 2010|$1,600.0|$1,500.0|The FDIC has approved the payout of the insured deposits of Advanta Bank Corp.
Century Security Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/cent-security.html|Duluth|GA|March 19, 2010|$96.5|$94.0|Bank of Upson, Thomaston, GA has agreed to assume all deposits, excluding certain brokered deposits.
American National Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/amer-natl-oh.html|Parma|OH|March 19, 2010|$70.3|$66.8|The National Bank and Trust Company, Wilmington, OH has agreed to assume all deposits, excluding certain brokered deposits.
Statewide Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/statewide.html|Covington|LA|March 12, 2010|$243.2|$208.8|Home Bank, Lafayette, LA has agreed to assume all deposits.
Old Southern Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/oldsouthern.html|Orlando|FL|March 12, 2010|$315.6|$319.7|Centennial Bank, Conway, AR has agreed to assume all deposits.
Park Avenue Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/parkavenue-ny.html|New York|NY|March 12, 2010|$520.1|$494.5|Valley National Bank, Wayne, NJ has agreed to assume all deposits, excluding certain brokered deposits.
LibertyPointe Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/libertypointe.html|New York|NY|March 11, 2010|$209.7|$209.5|Valley National Bank, Wayne, NJ has agreed to assume all deposits.
Centennial Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/centennial-ut.html|Ogden|UT|March 5, 2010|$215.2|$205.1|The FDIC has approved the payout of the insured deposits of Centennial Bank.
Waterfield Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/waterfield.html|Germantown|MD|March 5, 2010|$155.6|$156.4|To protect the insured depositors, the FDIC created Waterfield Bank, FA - a new depository institution chartered by the Office of Thrift Supervision (OTS) and insured by the FDIC - to take over the operations of Waterfield Bank. The FDIC will mail checks directly to customers with CDs and IRAs for the amount of their insured funds.
Bank of Illinois|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/bankofillinois.html|Normal|IL|March 5, 2010|$211.7|$198.5|Heartland Bank and Trust Company, Bloomington, IL has agreed to assume all deposits, excluding certain brokered deposits.
Sun American Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/sunamerican.html|Boca Raton|FL|March 5, 2010|$535.7|$443.5|First-Citizens Bank & Trust Company, Raleigh, NC has agreed to assume all deposits, excluding certain brokered deposits.
Rainier Pacific Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/rainier.html|Tacoma|WA|February 26, 2010|$717.8|$446.2|Umpqua Bank, Roseburg, OR has agreed to assume all deposits, excluding certain brokered deposits.
Carson River Community Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/carsonriver.html|Carson City|NV|February 26, 2010|$51.1|$50.0|Heritage Bank of Nevada, Reno, NV has agreed to assume all deposits, excluding certain brokered deposits.
La Jolla Bank FSB|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/lajolla.html|La Jolla|CA|February 19, 2010|$3,600.0|$2,800.0|OneWest Bank, FSB, Pasadena, CA has agreed to assume all deposits.
George Washington Savings Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/georgewashington.html|Orland Park|IL|February 19, 2010|$412.8|$395.3|FirstMerit Bank, National Association, Akron, OH has agreed to assume all deposits.
The La Coste National Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/lacoste.html|La Coste|TX|February 19, 2010|$53.9|$49.3|Community National Bank, Hondo, TX has agreed to assume all deposits.
Marco Community Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/marco.html|Marco Island|FL|February 19, 2010|$119.6|$117.1|Mutual of Omaha Bank, Omaha, NE has agreed to assume all deposits, excluding certain brokered deposits.
1st American State Bank of Minnesota|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/1stamerican.html|Hancock|MN|February 5, 2010|$18.2|$16.3|Community Development Bank, FSB, Ogema, MN has agreed to assume all deposits.
American Marine Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/americanmarine.html|Bainbridge Island|WA|January 29, 2010|$373.2|$308.5|Columbia State Bank, Tacoma, WA has agreed to assume all deposits, excluding certain brokered deposits.
First Regional Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstregional.html|Los Angeles|CA|January 29, 2010|$2,180.0|$1,870.0|First-Citizens Bank & Trust Company, Raleigh, NC has agreed to assume all deposits, excluding certain brokered deposits.
Community Bank and Trust|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/cbt-cornelia.html|Cornelia|GA|January 29, 2010|$1,210.0|$1,110.0|SCBT National Association, Orangeburg, SC has agreed to assume all deposits, excluding certain brokered deposits.
Marshall Bank National Association|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/marshall-mn.html|Hallock|MN|January 29, 2010|$59.9|$54.7|United Valley Bank, Cavalier, ND has agreed to assume all deposits.
Florida Community Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/floridacommunity.html|Immokalee|FL|January 29, 2010|$875.5|$795.5|Premier American Bank, National Association, Miami, FL has agreed to assume all deposits, excluding certain brokered deposits.
First National Bank of Georgia|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstnational-carrollton.html|Carrollton|GA|January 29, 2010|$832.6|$757.9|Community and Southern Bank, Carrollton, GA has agreed to assume all deposits, excluding certain brokered deposits.
Columbia River Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/columbiariver.html|The Dalles|OR|January 22, 2010|$1,100.0|$1,000.0|Columbia State Bank, Tacoma, WA has agreed to assume all deposits.
Evergreen Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/evergreen-wa.html|Seattle|WA|January 22, 2010|$488.5|$439.4|Umpqua Bank, Roseburg, OR has agreed to assume all deposits, excluding certain brokered deposits.
Charter Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/charter-nm.html|Santa Fe|NM|January 22, 2010|$1,200.0|$851.5|Charter Bank, Albuquerque, NM has agreed to assume all deposits, excluding certain brokered deposits.
Bank of Leeton|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/leeton.html|Leeton|MO|January 22, 2010|$20.1|$20.4|Sunflower Bank, National Association, Salina, KS has agreed to assume all deposits.
Premier American Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/premieramerican.html|Miami|FL|January 22, 2010|$350.9|$326.3|Premier American Bank, National Association, Miami, FL has agreed to assume all deposits, excluding certain brokered deposits.
Barnes Banking Company|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/barnes.html|Kaysville|UT|January 15, 2010|$827.8|$786.5|"The FDIC has created the Deposit Insurance National Bank of Kaysville, UT (""DINB of Kaysville"") to facilitate the resolution of Barnes Banking Company, Kaysville, UT."
St. Stephen State Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/ststephen.html|St. Stephen|MN|January 15, 2010|$24.7|$23.4|First State Bank of St. Joseph, St. Joseph, MN has agreed to assume all deposits.
Town Community Bank and Trust|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/towncommunity.html|Antioch|IL|January 15, 2010|$69.6|$67.4|First American Bank, Elk Grove Village, IL has agreed to assume all deposits, excluding certain brokered deposits.
Horizon Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/horizon-wa.html|Bellingham|WA|January 8, 2010|$1,300.0|$1,100.0|Washington Federal Savings and Loan Association, Seattle, WA has agreed to assume all deposits, excluding certain brokered deposits.
Western National Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/westernnatl.html|Phoenix|AZ|December 16, 2011|$162.9|$144.5|Washington Federal, Seattle, WA has agreed to assume all deposits excluding certain brokered deposits.
Premier Community Bank of the Emerald Coast|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/premier-fl.html|Crestview|FL|December 16, 2011|$126.0|$112.1|Summit Bank, National Association, Panama City, FL has agreed to assume all deposits.
Central Progressive Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/centralprog.html|Lacombe|LA|November 18, 2011|$383.1|$347.7|First NBC Bank, New Orleans, LA has agreed to assume all deposits.
Polk County Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/polkcounty.html|Johnston|IA|November 18, 2011|$91.6|$82.0|Grinnell State Bank, Grinnell, IA has agreed to assume all deposits.
Community Bank of Rockmart|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/rockmart.html|Rockmart|GA|November 10, 2011|$62.4|$55.9|Century Bank of Georgia, Cartersville, GA has agreed to assume all deposits excluding certain brokered deposits.
SunFirst Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/sunfirst.html|Saint George|UT|November 4, 2011|$198.1|$169.1|Cache Valley Bank, Logan, UT has agreed to assume all deposits excluding certain brokered deposits.
Mid City Bank Inc.|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/midcity.html|Omaha|NE|November 4, 2011|$106.1|$105.5|Premier Bank (formerly Purdum State Bank), Purdum, NE has agreed to assume all deposits.
All American Bank|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/allamerican.html|Des Plaines|IL|October 28, 2011|$37.8|$33.4|International Bank of Chicago, Chicago, IL has agreed to assume all deposits.
Community Banks of Colorado|https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/commbanksco.html|Greenwood Village|CO|October 21, 2011|$1,380.0|$1,330.0|Bank Midwest, National Association, Kansas City, MO has agreed to assume all deposits excluding certain brokered deposits.
